# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
3.922555314284913948e+02,4.523951094393905970e-01,1.000000087444606445e+00,1.000002566891978972e+00,1.715031378332006036e-05,1.000000000026741942e+00,1.000000734306457861e+00,5.244837334171843804e-09,1.000000000026515901e+00,1.000000734304791639e+00,5.200521560273022612e-09,1.000000087415284122e+00,1.000002566863582798e+00,1.714456435799694372e-05,-5.159081671601720756e-14,-2.392001976726070395e-06,1.284826409615734878e-15,-7.342526236158032091e-07
4.184059001903908097e+02,4.825547834020166293e-01,1.000000099094881190e+00,1.000002572470921169e+00,2.073093944030120908e-05,1.000000000034615422e+00,1.000000734312355588e+00,7.241648325915315459e-09,1.000000000034362735e+00,1.000000734310648731e+00,7.188778567038024326e-09,1.000000098950980076e+00,1.000002572385208399e+00,2.070083695854779790e-05,-5.817293805106760583e-14,-2.374280371295046905e-06,1.459433928058500125e-15,-7.342427750363997025e-07
4.445562689522902815e+02,5.127144573646427173e-01,1.000000111260429092e+00,1.000002578265496656e+00,2.473075788035527031e-05,1.000000000043801851e+00,1.000000734319235640e+00,9.736193734693198144e-09,1.000000000043757442e+00,1.000000734317673334e+00,9.726334706725490926e-09,1.000000111102105960e+00,1.000002578174993939e+00,2.469556886711457748e-05,-6.498152764384504755e-14,-2.355743852401928986e-06,1.642939098225575717e-15,-7.342312832389067805e-07
4.707066377141896396e+02,5.428741313272686941e-01,1.000000123879020819e+00,1.000002584248384840e+00,2.915533508067998065e-05,1.000000000054958704e+00,1.000000734327590513e+00,1.293471344631252991e-08,1.000000000054879212e+00,1.000000734326005558e+00,1.291600058911432283e-08,1.000000123848175937e+00,1.000002584222704272e+00,2.914807924093752121e-05,-7.198674561963504781e-14,-2.336489558657479697e-06,1.838260285968189464e-15,-7.342173247856601693e-07
4.968570064760891114e+02,5.730338052898947820e-01,1.000000137282143875e+00,1.000002590544339709e+00,3.410479283538436442e-05,1.000000000068390849e+00,1.000000734337646913e+00,1.699023613795567483e-08,1.000000000067915229e+00,1.000000734335792174e+00,1.687206950344405693e-08,1.000000137154186231e+00,1.000002590466678498e+00,3.407300921751997363e-05,-7.930708960666396750e-14,-2.315979268566451280e-06,2.045049683839214871e-15,-7.342005176231306594e-07
5.230073752379885264e+02,6.031934792525207589e-01,1.000000151149588845e+00,1.000002597014885586e+00,3.952616888434392890e-05,1.000000000083714591e+00,1.000000734349117515e+00,2.189167420564305307e-08,1.000000000083328233e+00,1.000000734347317621e+00,2.179061129141628380e-08,1.000000151010659755e+00,1.000002596946131028e+00,3.948984437674083039e-05,-8.679362864257966831e-14,-2.294714925352319182e-06,2.260383876172252386e-15,-7.341813417391015419e-07
5.491577439998879981e+02,6.333531532151468468e-01,1.000000165414637987e+00,1.000002603633106224e+00,4.541935721159981107e-05,1.000000000101040731e+00,1.000000734362085142e+00,2.774365003665091818e-08,1.000000000101264552e+00,1.000000734360709131e+00,2.780511138855080680e-08,1.000000165379896888e+00,1.000002603597762496e+00,4.540982552748159764e-05,-9.441909851441756085e-14,-2.272803048653677046e-06,2.484292297757262100e-15,-7.341596579730297110e-07
5.753081127617873562e+02,6.635128271777728237e-01,1.000000180350973045e+00,1.000002610485299703e+00,5.187867961129547645e-05,1.000000000122123422e+00,1.000000734377859857e+00,3.512929785714149980e-08,1.000000000121821664e+00,1.000000734376077505e+00,3.504247180538194666e-08,1.000000180241218173e+00,1.000002610421920846e+00,5.184711752289372665e-05,-1.022507394344315247e-13,-2.249782572053966513e-06,2.721985918918253407e-15,-7.341332680684924269e-07
6.014584815236868280e+02,6.936725011403989116e-01,1.000000195692138272e+00,1.000002617465220789e+00,5.885033664678561015e-05,1.000000000145769841e+00,1.000000734395549262e+00,4.383725350243268901e-08,1.000000000145225387e+00,1.000000734393599044e+00,4.367354597710361291e-08,1.000000195575583950e+00,1.000002617419330830e+00,5.881529685077789153e-05,-1.101826467508502489e-13,-2.226080162976919935e-06,2.967812664748341453e-15,-7.341036658250042104e-07
6.276088502855862998e+02,7.238321751030249995e-01,1.000000211370589476e+00,1.000002624548998797e+00,6.632901231713168421e-05,1.000000000172084569e+00,1.000000734415231074e+00,5.400089919353250234e-08,1.000000000171710424e+00,1.000000734413457604e+00,5.388350601007768961e-08,1.000000211334208355e+00,1.000002624510535787e+00,6.631760973702735681e-05,-1.181936112687967290e-13,-2.201807038019132088e-06,3.221707929618704497e-15,-7.340707192157207321e-07
6.537592190474856579e+02,7.539918490656509764e-01,1.000000227602681369e+00,1.000002631785201102e+00,7.439865866445089058e-05,1.000000000202278860e+00,1.000000734437808791e+00,6.612083487906157278e-08,1.000000000202027284e+00,1.000000734436087058e+00,6.603858110054997295e-08,1.000000227514215023e+00,1.000002631742441750e+00,7.436975778301054105e-05,-1.263027493622150197e-13,-2.176579055932919109e-06,3.486282400981670623e-15,-7.340329094645614998e-07
6.799095878093851297e+02,7.841515230282770643e-01,1.000000244173083308e+00,1.000002639097738788e+00,8.300778994530167614e-05,1.000000000236724640e+00,1.000000734463557972e+00,8.047567616611705898e-08,1.000000000236117792e+00,1.000000734461528040e+00,8.026939492887451686e-08,1.000000244072430045e+00,1.000002639054752729e+00,8.297359267715678918e-05,-1.344432839086148137e-13,-2.150750788199001085e-06,3.761079423717493680e-15,-7.339897681888155311e-07
