# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
1.000000000000000048e-04,0.000000000000000000e+00,1.000000000000000000e+00,1.027034479235110709e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.007497945068758227e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.007343114462172728e+00,3.163771917407247034e-29,1.000000000000589750e+00,1.025240800988949763e+00,2.948966711645621385e-17,-0.000000000000000000e+00,-2.695107600799657305e-02,8.807476253621174747e-17,-7.459297206797611303e-03
2.598962344875446751e-01,3.063441073442420629e-02,1.000004442835477736e+00,1.027036581957566419e+00,5.773355405545469926e-07,1.000000000846999804e+00,1.007497944246195987e+00,1.100660297872473985e-10,1.000000000008272716e+00,1.007343114467819989e+00,1.075035355596011314e-12,1.000003983019534859e+00,1.025242604533250335e+00,5.175858894984903055e-07,-2.841752336564004269e-08,-2.694430450903229426e-02,8.331588015728462727e-10,-7.459298021559930547e-03
5.197924689750893501e-01,6.126882146884841257e-02,1.000019784881449381e+00,1.027043838324283920e+00,5.141914456312510881e-06,1.000000002813629774e+00,1.007497942514865796e+00,7.312517834039437616e-10,1.000000000105580877e+00,1.007343114535669271e+00,2.744004360967556104e-11,1.000015924391488120e+00,1.025248638507962440e+00,4.138689384296328865e-06,-1.264376018817931600e-07,-2.692091592574143849e-02,2.664304874395626994e-09,-7.459299679939138811e-03
7.796887034626340807e-01,9.190323220327262232e-02,1.000039931585049446e+00,1.027053363537479447e+00,1.556648129294731261e-05,1.000000006005325792e+00,1.007497939953688748e+00,2.341142340396402449e-09,1.000000000469411399e+00,1.007343114799589268e+00,1.829973439585546644e-10,1.000035800389888152e+00,1.025258559062629082e+00,1.395657978768529621e-05,-2.550696776234525260e-07,-2.689019883115668919e-02,5.493109873987194918e-09,-7.459302049871273897e-03
1.039584937950178700e+00,1.225376429376968251e-01,1.000072153895768201e+00,1.027068576428516122e+00,3.750234568720820270e-05,1.000000011116897181e+00,1.007497936496971613e+00,5.778479375130077349e-09,1.000000001368880787e+00,1.007343115472877804e+00,7.115338754600382733e-10,1.000063570692507398e+00,1.025272358921042848e+00,3.304356721288572536e-05,-4.602911238912967169e-07,-2.684104702482975266e-02,9.653239148937446582e-09,-7.459305014238574137e-03
1.299481172437723320e+00,1.531720536721210280e-01,1.000111841113173972e+00,1.027087284178640259e+00,7.265958410829253308e-05,1.000000018843087535e+00,1.007497932675461616e+00,1.224311852459329778e-08,1.000000003238861179e+00,1.007343116884277245e+00,2.104419557990278429e-09,1.000099186299073351e+00,1.025290281123611535e+00,6.444536410485863294e-05,-7.123638948284486719e-07,-2.678047634142550343e-02,1.513575509077597369e-08,-7.459307686597698925e-03
1.559377406925268161e+00,1.838064644065452446e-01,1.000158223748059738e+00,1.027109120591390479e+00,1.233457527543806035e-04,1.000000029021451464e+00,1.007497928947522547e+00,2.262769717223667399e-08,1.000000006817923559e+00,1.007343119534976239e+00,5.315858030056286329e-09,1.000142563383412897e+00,1.025311681097554217e+00,1.111550595745310202e-04,-1.006320385932136618e-06,-2.670965742235162713e-02,2.160834560713592004e-08,-7.459309523464248415e-03
1.819273641412812781e+00,2.144408751409694336e-01,1.000215620891834245e+00,1.027136069259078743e+00,1.960944204721694621e-04,1.000000041910203530e+00,1.007497925500408842e+00,3.812306267820064934e-08,1.000000012612708211e+00,1.007343123844690824e+00,1.147298374332870582e-08,1.000193633155727069e+00,1.025337110301431709e+00,1.761358481588438918e-04,-1.368373698376014639e-06,-2.662194184967582589e-02,2.907341218806282163e-08,-7.459310208184816854e-03
2.079169875900357400e+00,2.450752858753936503e-01,1.000280941057947848e+00,1.027166653236903482e+00,2.919800631065411580e-04,1.000000060861583773e+00,1.007497923699981035e+00,6.327078198114797273e-08,1.000000021335193612e+00,1.007343130370680129e+00,2.217974594879643070e-08,1.000252284447236129e+00,1.025366141546083298e+00,2.622711114258160126e-04,-1.778442554182978369e-06,-2.652202664664336448e-02,3.817350006671307031e-08,-7.459307002141841482e-03
2.339066110387902242e+00,2.757096966098178670e-01,1.000352686520048495e+00,1.027200171191773537e+00,4.123331189851490151e-04,1.000000084602853390e+00,1.007497923750777069e+00,9.894582529286295693e-08,1.000000033787475040e+00,1.007343139748275496e+00,3.951556885020841012e-08,1.000318402832518272e+00,1.025398754054073214e+00,3.723826374975514790e-04,-2.227128978216101091e-06,-2.641220272938227601e-02,4.824919452161334424e-08,-7.459300011826802863e-03
2.598962344875446639e+00,3.063441073442420559e-01,1.000434247536052146e+00,1.027238127168760951e+00,5.640515592773712519e-04,1.000000113583372485e+00,1.007497925990461951e+00,1.475994373110656707e-07,1.000000051447067939e+00,1.007343152976750922e+00,6.685449619735721781e-08,1.000391881559824281e+00,1.025435101724546438e+00,5.092427088171428123e-04,-2.733807704039035489e-06,-2.628719435405690863e-02,5.929771102817490641e-08,-7.459288670211059076e-03
2.858858579362991481e+00,3.369785180786662449e-01,1.000523988207687731e+00,1.027279714455033410e+00,7.486118277466275806e-04,1.000000150801367393e+00,1.007497932078473379e+00,2.155598589429860773e-07,1.000000075563121094e+00,1.007343170953173273e+00,1.080121383557040736e-07,1.000472527494432828e+00,1.025474510218246760e+00,6.754446407220896214e-04,-3.287310729003563591e-06,-2.614946006372902143e-02,7.164180050077718398e-08,-7.459269961266430313e-03
3.118754813850536323e+00,3.676129288130904893e-01,1.000619762654806566e+00,1.027323954311146315e+00,9.658452867224278163e-04,1.000000198255591277e+00,1.007497943535765383e+00,3.091552285477488351e-07,1.000000106910088782e+00,1.007343194383964136e+00,1.667131770725660526e-07,1.000560244269731891e+00,1.025517478882799427e+00,8.736322565790865906e-04,-3.874779028364299017e-06,-2.600231040666268340e-02,8.525771455984478834e-08,-7.459241336572385549e-03
3.378651048338080720e+00,3.982473395475146782e-01,1.000724066786000233e+00,1.027371896583035626e+00,1.222299476339878174e-03,1.000000254576438596e+00,1.007497959906280327e+00,4.300623660420896833e-07,1.000000146719989935e+00,1.007343224237460699e+00,2.478578237332932984e-07,1.000654822638279651e+00,1.025563494703969347e+00,1.106208596649348435e-03,-4.509217766940565955e-06,-2.584179975402219401e-02,9.982394840362177837e-08,-7.459203781854632440e-03
3.638547282825625562e+00,4.288817502819388672e-01,1.000836583257256551e+00,1.027423306716336082e+00,1.520701675213379737e-03,1.000000320429468070e+00,1.007497981676904075e+00,5.829486983608015230e-07,1.000000196311883194e+00,1.007343261557300362e+00,3.571450347076333242e-07,1.000756092577217871e+00,1.025612535676234005e+00,1.375539296200159294e-03,-5.186785825484892244e-06,-2.566832149215917541e-02,1.153437215168407348e-07,-7.459156473313569534e-03
