# R,rho,minus_Psi2_num,Phi2_num,phi1_pg_sq_over_16,phi1_pg,h00_2_num,chi_2_num,minus_Psi0_PG,minus_Phi0_PG,minus_PhiN_SP
9.732946629441870945e-01,5.541030833797768590e-02,3.371297825584783359e-06,1.390757094931125201e-06,1.383067888515637154e-06,4.704156270390068111e-03,6.742595651169566717e-06,-2.781514189862250403e-06,3.147694420541469196e-03,3.154888754475781987e-03,3.154013457083328434e-03
1.297693877129317608e+00,7.387856997235439649e-02,3.367495567192096972e-06,1.389697828024818878e-06,1.382015967726957204e-06,4.702367008606550200e-03,6.734991134384193945e-06,-2.779395656049637757e-06,3.147001281354366853e-03,3.154199730651785494e-03,3.153390718578763172e-03
1.946494776773069812e+00,1.108152339323407592e-01,3.356659473747677924e-06,1.386676547919859511e-06,1.379015654723897313e-06,4.697259890146845626e-03,6.713318947495355848e-06,-2.773353095839719022e-06,3.145022719598489225e-03,3.152233064448450861e-03,3.151434969471133413e-03
2.595300230036577283e+00,1.477521571329089289e-01,3.341556779704393798e-06,1.382459579382416861e-06,1.374827939211080158e-06,4.690122282774435505e-03,6.683113559408787596e-06,-2.764919158764833722e-06,3.142257222021882512e-03,3.149484077542896721e-03,3.148713025735759476e-03
3.244111736388322509e+00,1.846894249397904864e-01,3.322253864684529545e-06,1.377059607240796671e-06,1.369465382169305551e-06,4.680966365475070293e-03,6.644507729369059090e-06,-2.754119214481593343e-06,3.138709205328493734e-03,3.145957048059866423e-03,3.145229034302671634e-03
3.892930779704230293e+00,2.216271218310224556e-01,3.298835808020986887e-06,1.370492783083382793e-06,1.362944009435868528e-06,4.669807720985297284e-03,6.597671616041973774e-06,-2.740985566166765585e-06,3.134384320333527540e-03,3.141657450746571101e-03,3.140988257364031068e-03
4.541758824514965376e+00,2.585653311833033263e-01,3.271405052330655233e-06,1.362778679673497446e-06,1.355283220388364690e-06,4.656665279598033898e-03,6.542810104661310466e-06,-2.725557359346994893e-06,3.129289430454096355e-03,3.136591937287103171e-03,3.135997054833665563e-03
5.190597312348182335e+00,2.955041350637551134e-01,3.240080069757955705e-06,1.353940157357105437e-06,1.346505678037527368e-06,4.641561251195597086e-03,6.480160139515911411e-06,-2.707880314714210875e-06,3.123432586092267371e-03,3.130768312794351971e-03,3.130262863353100791e-03
5.839447658183108736e+00,3.324436140280802587e-01,3.204995680606247122e-06,1.344003237319976603e-06,1.336637181517475855e-06,4.624521045933255824e-03,6.409991361212494243e-06,-2.688006474639953205e-06,3.116822994851387030e-03,3.124195508428462276e-03,3.123878479302893887e-03
6.488311247033990981e+00,3.693838469260550261e-01,3.166301143405544222e-06,1.332996957486408099e-06,1.325706522105582882e-06,4.605573184055305677e-03,6.332602286811088443e-06,-2.665993914972816197e-06,3.109470987742335435e-03,3.116883550266846825e-03,3.116669881045724955e-03
7.137189430677866042e+00,4.063249107152395179e-01,3.124158324985682605e-06,1.320953212929386822e-06,1.313745324042070326e-06,4.584749195394784496e-03,6.248316649971365211e-06,-2.641906425858773644e-06,3.101387981587599985e-03,3.108843524614268716e-03,3.108747164014773363e-03
7.786083524541060008e+00,4.432668802837236854e-01,3.078742277331288774e-06,1.307906581851621803e-06,1.300787871537121852e-06,4.562083509164858476e-03,6.157484554662577547e-06,-2.615813163703243607e-06,3.092586437865474380e-03,3.100087539953388927e-03,3.100121864596004986e-03
8.434994804757579345e+00,4.802098282826598452e-01,3.030238664914440549e-06,1.293894133529265160e-06,1.286870923448574668e-06,4.537613334692280204e-03,6.060477329828881099e-06,-2.587788267058530321e-06,3.083079818257172811e-03,3.090628685759821970e-03,3.090806439986184401e-03
9.083924505411314243e+00,5.171538249692593237e-01,2.978841549251126652e-06,1.278955231960277941e-06,1.272033517201597006e-06,4.511378533799347522e-03,5.957683098502253305e-06,-2.557910463920555882e-06,3.072882537176080398e-03,3.080480988428058176e-03,3.080814229059723741e-03
9.732873815972586939e+00,5.540989380608536408e-01,2.924754309365906052e-06,1.263131330776222015e-06,1.256316763584532646e-06,4.483421485579124240e-03,5.849508618731812104e-06,-2.526262661552444029e-06,3.062009911576790699e-03,3.069659364553389835e-03,3.070159410929378888e-03
1.038184387893818794e+01,5.910452326005399826e-01,2.868186533874338834e-06,1.246465764134353140e-06,1.239763634092823143e-06,4.453786944330091063e-03,5.736373067748677668e-06,-2.492931528268706280e-06,3.050478108350129780e-03,3.058179571842511990e-03,3.058835925466138386e-03
1.103083578768260153e+01,6.279927708348505000e-01,2.809351845569924705e-06,1.229003511722922223e-06,1.222418742525723863e-06,4.422521891456455100e-03,5.618703691139849410e-06,-2.458007023445844447e-06,3.038304089619969783e-03,3.046058157923692278e-03,3.046878947462635084e-03
1.167985058452660319e+01,6.649416121037954319e-01,2.748468888799215221e-06,1.210790982082382656e-06,1.204328122544361184e-06,4.389675382156382061e-03,5.496937777598430441e-06,-2.421581964164765312e-06,3.025505556262964024e-03,3.033312407340726935e-03,3.034307958307550911e-03
1.232888925902797972e+01,7.018918127435537224e-01,2.685758120041237262e-06,1.191875792258668441e-06,1.185539002881092506e-06,4.355298387722416308e-03,5.371516240082474525e-06,-2.383751584517336883e-06,3.012100889975000140e-03,3.019960287015233114e-03,3.021140120615147927e-03
1.297795274649758923e+01,7.388434260019904887e-01,2.621439695373387058e-06,1.172306527435138025e-06,1.166099581867648467e-06,4.319443634298562526e-03,5.242879390746774115e-06,-2.344613054870276050e-06,2.998109094210721359e-03,3.006020390465380387e-03,3.007393192575960085e-03
1.362704192674254600e+01,7.757965019671061446e-01,2.555734625923899994e-06,1.152132520790238717e-06,1.146058802900184028e-06,4.282165438934248426e-03,5.111469251847799988e-06,-2.304265041580477433e-06,2.983549734312362922e-03,2.991511881069719436e-03,2.993085477144641435e-03
1.427615762303680391e+01,8.127510875084310582e-01,2.488861666382052168e-06,1.131403632196662759e-06,1.125466132391032155e-06,4.243519543758048421e-03,4.977723332764104336e-06,-2.262807264393325518e-06,2.968442877150256898e-03,2.976454434666098159e-03,2.978235770573508297e-03
1.492530060131813840e+01,8.497072262313087876e-01,2.421035396332846951e-06,1.110170021698284397e-06,1.104371341688015511e-06,4.203562949095475051e-03,4.842070792665693901e-06,-2.220340043396568794e-06,2.952809030578484872e-03,2.960868181761222573e-03,2.962857900000065089e-03
1.557447156960897416e+01,8.866649584439239007e-01,2.352467522610639239e-06,1.088481938345353920e-06,1.082824294350579595e-06,4.162353746332629091e-03,4.704935045221278478e-06,-2.176963876690707840e-06,2.936669083005882808e-03,2.944773649634191415e-03,2.946964424339159998e-03
1.622367117765750777e+01,9.236243211368705408e-01,2.283364056732302416e-06,1.066389513674438379e-06,1.060874740066647237e-06,4.119950951293759739e-03,4.566728113464604832e-06,-2.132779027348876759e-06,2.920044243369057657e-03,2.928191704595572986e-03,2.930589467457574756e-03
1.687290001679404128e+01,9.605853479749736357e-01,2.213923705007489473e-06,1.043942558241050414e-06,1.038572116392044291e-06,4.076414338885671687e-03,4.427847410014978946e-06,-2.087885116482100828e-06,2.902955981780530603e-03,2.911143494666368348e-03,2.913753305030663317e-03
1.752215861999657420e+01,9.975480693010230215e-01,2.144339260005435899e-06,1.021190372812556880e-06,1.015965359375416130e-06,4.031804279724731169e-03,4.288678520010871797e-06,-2.042380745625113761e-06,2.885425971109245591e-03,2.893650392920110725e-03,2.896476436665752427e-03
1.817144746215850049e+01,1.034512512151013253e+00,2.074795214964536560e-06,9.981815678507060810e-07,9.931027240049121561e-07,3.986181579416396038e-03,4.149590429929073121e-06,-1.996363135701412162e-06,2.867476029734639109e-03,2.875733941725910903e-03,2.878779535409641682e-03
1.882076696055038312e+01,1.071478700280433127e+00,2.005466533101882970e-06,9.749638913422313500e-07,9.700316152932549229e-07,3.939607321128855630e-03,4.010933066203765940e-06,-1.949927782684462700e-06,2.849128065698092183e-03,2.857415798109608218e-03,2.860683398137710016e-03
1.947011747546690330e+01,1.108446654201097115e+00,1.936520059373728758e-06,9.515840715046874811e-07,9.467984306877614283e-07,3.892142712055171247e-03,3.873040118747457516e-06,-1.903168143009374962e-06,2.830404022457988500e-03,2.838717680444302616e-03,2.842208896996707528e-03
2.011949931104934208e+01,1.145416391227969344e+00,1.868112657741564236e-06,9.280876700105663252e-07,9.234484143599133961e-07,3.843848934305121087e-03,3.736225315483128473e-06,-1.856175340021132650e-06,2.811325826430621788e-03,2.819661316654453742e-03,2.823368695664747307e-03
2.076891271627325253e+01,1.182387925535392625e+00,1.800390388085292004e-06,9.045189466265013456e-07,9.000255238071294423e-07,3.794787000730616942e-03,3.600780776170584008e-06,-1.809037893253002691e-06,2.791915336490369270e-03,2.800268394114624471e-03,2.804189016262641308e-03
2.141835788609057545e+01,1.219361268222109551e+00,1.733489864976563849e-06,8.809207387677362174e-07,8.765723090730987631e-07,3.745017616136081615e-03,3.466979729953127698e-06,-1.761841477535472435e-06,2.772194295567242950e-03,2.780560511392637935e-03,2.784695262138961371e-03
2.206783496271479095e+01,1.256336427384427745e+00,1.667536945412079197e-06,8.573343526036915243e-07,8.531298047698610928e-07,3.694601044269567227e-03,3.335073890824158394e-06,-1.714668705207383049e-06,2.752184284477099396e-03,2.760559131985251824e-03,2.764908122033046811e-03
2.271734403703766247e+01,1.293313408196875347e+00,1.602646303840594283e-06,8.337994668966624443e-07,8.297374349734423706e-07,3.643596980948233047e-03,3.205292607681188566e-06,-1.667598933793324889e-06,2.731906678086704066e-03,2.740285540160147804e-03,2.744848130854696689e-03
2.336688515016553325e+01,1.330292212999663493e+00,1.538922667723621046e-06,8.103540512264006616e-07,8.064329309542861018e-07,3.592064433618720205e-03,3.077845335447242092e-06,-1.620708102452801323e-06,2.711382603904133326e-03,2.719760799017589825e-03,2.724535630974228746e-03
2.401645829506336582e+01,1.367272841392283000e+00,1.476460034361770993e-06,7.870342957691727687e-07,7.832522615998197362e-07,3.540061607599098801e-03,2.952920068723541985e-06,-1.574068591538345537e-06,2.690632903164902334e-03,2.699005710853796813e-03,2.703990735454353967e-03
2.466606341829437099e+01,1.404255290332541817e+00,1.415341604767313133e-06,7.638745537717732451e-07,7.602295762950515088e-07,3.487645799206224358e-03,2.830683209534626266e-06,-1.527749107543546490e-06,2.669678094463834306e-03,2.678040779900192625e-03,2.683233293290673144e-03
2.531570042184328528e+01,1.441239554240366649e+00,1.355640836118521611e-06,7.409072972485499306e-07,7.373971599400364136e-07,3.434873295922366652e-03,2.711281672237043222e-06,-1.481814594497099861e-06,2.648538339968142807e-03,2.656886177491046830e-03,2.662276568909546521e-03
