# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
1.000000000000000048e-04,0.000000000000000000e+00,1.000000000000000000e+00,1.895956429461775672e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.081482721144361614e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.066088862845361751e+00,1.040856904392855226e-21,1.000000000047771120e+00,1.227166497047561311e+00,2.388558781870751025e-15,-0.000000000000000000e+00,-8.689387322257523527e-01,9.469361457849575034e-14,-7.755804421448520003e-02
6.103735470133028751e-02,3.216583273766976392e-02,1.000132388177595644e+00,1.895903812018898016e+00,4.039777258334780601e-06,1.000000065260459259e+00,1.081482653362701774e+00,1.991662771122176649e-09,1.000000000036946446e+00,1.066088862865671727e+00,1.127559669619087231e-12,1.000017796332163922e+00,1.227174636245323747e+00,5.431205193346866847e-07,-1.686580697854332003e-05,-8.686122767467727712e-01,6.630344641838877249e-08,-7.755811069882204145e-02
1.220747094026605750e-01,6.433166547533952784e-02,1.000529273393248264e+00,1.895746045855121853e+00,3.228835846862235280e-05,1.000000146306309734e+00,1.081482569472959510e+00,8.930148814410942781e-09,1.000000000235754971e+00,1.066088863001643405e+00,1.438986196060294746e-11,1.000071166896029595e+00,1.227200765535155114e+00,4.343839075957832690e-06,-6.740396733644636910e-05,-8.676334661063820342e-01,1.484715489390184051e-07,-7.755819288108502241e-02
1.831120641039908625e-01,9.649749821300929176e-02,1.001189684768391652e+00,1.895483455645319948e+00,1.087933869512756820e-04,1.000000343520012658e+00,1.081482367055049076e+00,3.145131848425844074e-08,1.000000001129438765e+00,1.066088863645776152e+00,1.034069224006309211e-10,1.000160058739275160e+00,1.227244858190455812e+00,1.465434306327577748e-05,-1.514197426437555139e-04,-8.660043115207153308e-01,3.473828357912604250e-07,-7.755839056824964661e-02
2.441494188053211500e-01,1.286633309506790557e-01,1.002102291916208587e+00,1.895120450266387646e+00,2.560982814039719155e-04,1.000000573277805893e+00,1.081482133182308347e+00,6.998268144447133382e-08,1.000000003245022917e+00,1.066088865181184175e+00,3.961352207749124607e-10,1.000284385246013263e+00,1.227306849069581984e+00,3.471624626546970452e-05,-2.673675630023080395e-04,-8.637521996721929662e-01,5.779556445399921293e-07,-7.755861831433943920e-02
3.051867735066514653e-01,1.608291636883488196e-01,1.003266313066894400e+00,1.894657191997597412e+00,4.967950847970189782e-04,1.000000906394559408e+00,1.081481799410061617e+00,1.383096901894461841e-07,1.000000007563531801e+00,1.066088868419050373e+00,1.154144925659731573e-09,1.000444026276503084e+00,1.227386647653589291e+00,6.775547333907917249e-05,-4.149970100024625197e-04,-8.608782408728012925e-01,9.090844045991908679e-07,-7.755894152658612817e-02
3.662241282079817251e-01,1.929949964260185835e-01,1.004732687489360510e+00,1.894073057398777182e+00,8.625300895718269762e-04,1.000001290866516790e+00,1.081481420241209079e+00,2.363729272463155879e-07,1.000000015663729647e+00,1.066088874347026039e+00,2.868217884390208485e-09,1.000638828359521115e+00,1.227484138207447284e+00,1.169771795200904045e-04,-6.004407933879801415e-04,-8.572548855286632463e-01,1.287644979645786777e-06,-7.755930659290850848e-02
4.272614829093120403e-01,2.251608291636883474e-01,1.006358495823030053e+00,1.893425060941869686e+00,1.349787558656550569e-03,1.000001766629718736e+00,1.081480960373375710e+00,3.774057499589267680e-07,1.000000027830230565e+00,1.066088883605599280e+00,5.945392800624825707e-09,1.000868604936927309e+00,1.227599179985078504e+00,1.855607167069424975e-04,-8.057181156667176042e-04,-8.532357865122552898e-01,1.750522411936793338e-06,-7.755974606085618006e-02
4.882988376106423001e-01,2.573266619013581114e-01,1.008329086776301065e+00,1.892638343224387620e+00,2.016744059337178836e-03,1.000002315472197756e+00,1.081480443438099348e+00,5.653198823646462325e-07,1.000000048362144511e+00,1.066088898663027029e+00,1.180758944946553833e-08,1.001133135473764701e+00,1.227731568724055977e+00,2.766543673473218163e-04,-1.053399951338084917e-03,-8.483582275142627083e-01,2.276399358463679311e-06,-7.756023517279175827e-02
5.493361923119726153e-01,2.894924946390278753e-01,1.010501770194925930e+00,1.891769706111269711e+00,2.854523674066950564e-03,1.000002943303528680e+00,1.081479864820606540e+00,8.084291971931185281e-07,1.000000074648463855e+00,1.066088918820882636e+00,2.050355147411133179e-08,1.001432101991215573e+00,1.227879395250697003e+00,3.933527274284050255e-04,-1.325514469508627148e-03,-8.429751759412785761e-01,2.870370291121351436e-06,-7.756077794318909369e-02
6.103735470133029306e-01,3.216583273766976392e-01,1.012874430288110750e+00,1.890819727097183378e+00,3.879163816236519922e-03,1.000003669808914752e+00,1.081479220481268211e+00,1.119973031991819438e-06,1.000000116426679853e+00,1.066088949478665393e+00,3.553188278923640740e-08,1.001765258170850936e+00,1.228044187687002298e+00,5.387334455682710882e-04,-1.621635234921275752e-03,-8.370909871626329712e-01,3.542639091255347189e-06,-7.756137282349542805e-02
6.714109017146331349e-01,3.538241601143674031e-01,1.015509607522348201e+00,1.889762193395253753e+00,5.127139858984888603e-03,1.000004461790253041e+00,1.081478532531678027e+00,1.497840625464850161e-06,1.000000167794354411e+00,1.066088988298221851e+00,5.632947941933666201e-08,1.002132284419590347e+00,1.228225705938575718e+00,7.158195024346346129e-04,-1.948799382694818300e-03,-8.305463525606019415e-01,4.266863062733222864e-06,-7.756200228174542355e-02
7.324482564159634501e-01,3.859899928520371670e-01,1.018394560434765506e+00,1.888600809112521706e+00,6.614854517796235449e-03,1.000005382856469449e+00,1.081477773957117305e+00,1.971321306472920596e-06,1.000000239134783975e+00,1.066089041308027952e+00,8.757692782280124429e-08,1.002532830155652421e+00,1.228423686650930380e+00,9.275835156526579962e-04,-2.304688489345762311e-03,-8.233688518763355724e-01,5.084347898314849420e-06,-7.756267968852739725e-02
7.934856111172937654e-01,4.181558255897069309e-01,1.021462424542650238e+00,1.887362381267758016e+00,8.336148567534756859e-03,1.000006353706701878e+00,1.081476988144705942e+00,2.520771406341025104e-06,1.000000327736384254e+00,1.066089107714811801e+00,1.300270525937724587e-07,1.002966514361306460e+00,1.228637843671769536e+00,1.176943230434751098e-03,-2.681140714334037060e-03,-8.157252866272126646e-01,5.937800543709141161e-06,-7.756337558756437600e-02
